"melid","performer","title","solopart","chorus_count","instrument","style","tonalitytype","genre","rhythmfeel","avgtempo","tempoclass","key","signature","recordingdate","composer","form","template","label","releasedate"
"392","Sonny Stitt","Blues in Be-Bop","1","2","as","BEBOP","BLUES","ORIGINAL","SWING","185.8","UP","Eb-maj","4/4","1946-09-04","McKinley/Dorham","A12","Blues","Membran Music Ltd.","2005"
"393","Sonny Stitt","Body and Soul","1","1","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","BALLAD","67.7","SLOW","Db-maj","4/4","1948-06-01","Heyman, Sour, Eyton, Green","A8A8B8A8","","Membran Music Ltd.","2005"
"394","Sonny Stitt","Elora","1","1","ts","BEBOP","FUNCTIONAL","ORIGINAL","SWING","192.7","UP","Bb-maj","4/4","1949-10-17","J.J. Johnson","A8A8B8C8","","Membran Music Ltd.","2005"
"395","Sonny Stitt","Good Kick","1","3","as","BEBOP","FUNCTIONAL","ORIGINAL","SWING","173.4","MEDIUM UP","F-maj","4/4","1946-09-04","Stitt","A8A8B8A8","","Membran Music Ltd.","2005"
"396","Sonny Stitt","Teapot","1","2","ts","BEBOP","FUNCTIONAL","ORIGINAL","SWING","167.9","MEDIUM UP","F-maj","4/4","1949-10-17","J.J. Johnson","A8B8","","Membran Music Ltd.","2005"
"397","Stan Getz","Blues in the Closet","1","16","ts","COOL","BLUES","ORIGINAL","SWING","242.5","UP","Bb-maj","4/4","1957-09-29","Pettiford","A12","Blues","Polydor K.K","1995"
"398","Stan Getz","Body and Soul","1","2","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","63.4","SLOW","Db-maj","4/4","1964","Heyman, Sour, Eyton, Green","A8A8B8A8","","Verve Records","1992"
"399","Stan Getz","Crazy Rhythm","1","8","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","287.9","UP","F-maj","4/4","1957-09-29","Meyer, Kahn, Caesar","A8A8B8A8","","Polydor K.K","1995"
"400","Stan Getz","I'm Glad There Is You","1","1","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","67","SLOW","C#-maj","4/4","1957-10-10","Paul Madeira, Jimmy Dorsey","A8A8","","Universal","2006"
"401","Stan Getz","Insensatez","1","1","ts","COOL","FUNCTIONAL","ORIGINAL","LATIN","128.2","MEDIUM","A-min","4/4","1963-02-08","Antonio Carlos Jobim, Vinicius De Moraes","A8B8C8D8","","Universal","2006"
"402","Stan Getz","My Funny Valentine","1","3","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","130.7","MEDIUM","F-min","4/4","1957-09-29","Rodgers, Hart","A8A8B8C12","","Polydor K.K","1995"
"403","Steve Coleman","Cross-Fade","1","1","as","FUSION","FREE","ORIGINAL","FUNK","144.8","MEDIUM UP","","9/4","1990-12-01","Steve Coleman","A4","","Novus","1991"
"404","Steve Coleman","Cross-Fade","2","1","as","FUSION","FREE","ORIGINAL","FUNK","145.9","MEDIUM UP","","9/4","1990-12-01","Steve Coleman","A4","","Novus","1991"
"405","Steve Coleman","Double Vision","1","1","ss","POSTBOP","COLOR","ORIGINAL","SWING","242.2","UP","","4/4","1985-06-06","Dave Holland","open","","ECM","1985"
"406","Steve Coleman","Pass It On","1","2","as","FUSION","MODAL","ORIGINAL","FUNK","104.9","MEDIUM SLOW","","4/4","1991-04-29","Dave Holland","A4A4B4A8","","Novus","1992"
"407","Steve Coleman","Processional","1","3","as","POSTBOP","COLOR","ORIGINAL","LATIN","103.9","MEDIUM SLOW","F-min","5/4","1989-09-01","Dave Holland","A12","","ECM","1990"
"408","Steve Coleman","Segment","1","5","as","POSTBOP","FUNCTIONAL","ORIGINAL","SWING","240","UP","Bb-min","4/4","1988-03-01","Parker","A8A8B8A8","","ECM","1988"
"409","Steve Coleman","Slipped again","1","3","as","POSTBOP","BLUES","ORIGINAL","SWING","131.6","MEDIUM","F-maj","4/4","1991-04-29","Thad Jones","A12","Blues","Novus","1992"
"410","Steve Coleman","Take the Coltrane","1","14","as","POSTBOP","BLUES","ORIGINAL","SWING","240","UP","F-maj","4/4","1988-03-01","Duke Ellington","A12","Blues","ECM Records","1988"
"411","Steve Coleman","The Oracle","1","1","as","POSTBOP","FREE","ORIGINAL","LATIN","97.7","MEDIUM SLOW","Bb-min","3/4","1989-09-01","Dave Holland","open","","ECM","1990"
"412","Steve Coleman","The Oracle","2","3","as","POSTBOP","FREE","ORIGINAL","LATIN","104","MEDIUM SLOW","Bb-min","3/4","1989-09-01","Dave Holland","open","","ECM","1990"
"413","Steve Lacy","Alone Together","1","1","ss","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","134.9","MEDIUM","D-maj","4/4","1957-11-01","","A14A14B8A8","","Giants of Jazz","1995"
"414","Steve Lacy","Ask Me Now","1","1","ss","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","85.4","MEDIUM SLOW","Db-maj","4/4","1958-10-17","Thelonious Monk","A8A8B8A8","","Original Jazz Classics/Prestige New Jazz","1990"
"415","Steve Lacy","Easy to Love","1","4","ss","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","166.3","MEDIUM UP","G-maj","4/4","1957-11-01","Cole Porter","A16A16","","Giants of Jazz","1995"
"416","Steve Lacy","Let's Cool One","1","2","ss","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","132.2","MEDIUM","Eb-maj","4/4","1961-11-14","Thelonious Monk","A8A8B8A8","","Giants of Jazz","1995"
"417","Steve Lacy","Skippy","1","3","ss","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","266.8","UP","Ab-maj","4/4","1958-10-17","Thelonious Monk","A16B16","","Original Jazz Classics/Prestige New Jazz","1990"
"418","Steve Lacy","Work","1","2","ss","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","165.9","MEDIUM UP","","4/4","1957-11-01","Thelonious Monk","A8A8B8","","Giants of Jazz","1995"
"419","Steve Turre","Dat Dere","1","3","tb","POSTBOP","FUNCTIONAL","ORIGINAL","SWING","116","MEDIUM","C-min","4/4","1987-06-24","O. Brown Jr./B. Timmons","A8A8B8A8","","32 Jazz","1998"
"420","Steve Turre","If I Were a Bell","1","2","tb","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","257.1","UP","F-maj","4/4","1987-06-24","F. Loesser","A16B16","","32 Jazz","1998"
"421","Steve Turre","Steve's Blues","1","4","tb","POSTBOP","BLUES","ORIGINAL","SWING","204.3","UP","F-maj","4/4","1987-06-24","S. Turre","A12","Blues","32 Jazz","1998"
"422","Von Freeman","Pass It On","1","3","ts","FUSION","MODAL","ORIGINAL","FUNK","105.9","MEDIUM SLOW","C-min","4/4","1991-04-29","Dave Holland","A4A4B4A8","","Novus","1992"
