"melid";"performer";"title";"solopart";"chorus_count";"instrument";"style";"tonalitytype";"genre";"rhythmfeel";"avgtempo";"tempoclass";"key";"signature";"recordingdate";"composer";"form";"template";"label";"releasedate";"numnotes";"duration";"recordingyear"
1;"Art Pepper";"Anthropology";1;4;"cl";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";218,8;"UP";"Bb-maj";"4/4";"25 - 26. 05.1979";"Parker, Gillespie";"A8A8B8A8";"I Got Rhythm";"Galaxy Records";1989;530;141,8;1979
2;"Art Pepper";"Blues for Blanche";1;11;"as";"COOL";"BLUES";"ORIGINAL";"SWING";198,9;"UP";"Eb-maj";"4/4";"25 - 26. 05.1979";"Art Pepper";"A12";"Blues";"Galaxy Records";1989;666;159,2;1979
3;"Art Pepper";"Desafinado";1;2;"as";"COOL";"FUNCTIONAL";"ORIGINAL";"LATIN";140,5;"MEDIUM UP";"F-maj";"4/4";"25 - 26. 05.1979";"Antonio Carlos Jobim";"A1612B8C8";"";"Galaxy Records";1989;373;111,3;1979
4;"Art Pepper";"In a Mellow Tone";1;4;"cl";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";167,6;"MEDIUM UP";"Eb-maj";"4/4";"25 - 26. 05.1979";"Duke Ellington";"A16B16";"";"Galaxy Records";1989;565;183,1;1979
5;"Art Pepper";"Stardust";1;2;"as";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";60,7;"SLOW";"Eb-maj";"4/4";"25 - 26. 05.1979";"Parish, Carmichael";"A16B16";"";"Galaxy Records";1989;591;255,3;1979
6;"Art Pepper";"Stardust";2;1;"as";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";60,2;"SLOW";"Eb-maj";"4/4";"25 - 26. 05.1979";"Parish, Carmichael";"A16B16";"";"Galaxy Records";1989;909;289,5;1979
21;"Ben Webster";"Bye Bye Blackbird";1;3;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";140,8;"MEDIUM UP";"G-maj";"4/4";"1959-11-08";"Dixon-Henderson";"A16B16";"";"Giants of Jazz";1993;558;173,2;1952
22;"Ben Webster";"Did You Call Her Today";1;4;"ts";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";118,4;"MEDIUM";"Ab-maj";"4/4";"1962-06-06";"Ben Webster";"A8B8A8C8";"";"Giants of Jazz";1993;427;94,1;1986
23;"Ben Webster";"My Ideal";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";74,2;"SLOW";"Bb-maj";"4/4";"1956-09-11";"Chase-Withing-Robin";"A8A8B8";"";"Giants of Jazz";1993;249;60;1986
24;"Ben Webster";"Night and Day";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";182,2;"UP";"D-maj";"4/4";"1956-09-11";"C. Porter";"A8B8A8B8C8B8";"";"Giants of Jazz";1993;568;112,4;1986
25;"Ben Webster";"Where or When";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";82,1;"MEDIUM SLOW";"Ab-maj";"4/4";"1956-09-11";"Rodgers, Hart";"A10A10B8A12";"";"Giants of Jazz";1993;231;43,8;1952
7;"Benny Carter";"I Got It Bad";1;1;"as";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";68,2;"SLOW";"Db-maj";"4/4";"1952-09-18";"Ellington/Webster";"A8A8B8A8";"";"Membran Music Ltd.";2004;254;49;1952
8;"Benny Carter";"It's a Wonderful World";1;3;"as";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";124,2;"MEDIUM";"C-maj";"4/4";"1986-11-14";"Oscar Peterson";"A4A4B4A4";"";"Pablo Records";1987;363;88,5;1986
9;"Benny Carter";"It's a Wonderful World";2;2;"as";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";127,2;"MEDIUM";"C-maj";"4/4";"1986-11-14";"Oscar Peterson";"A4A4B4A4";"";"Pablo Records";1987;162;33,1;1937
10;"Benny Carter";"Just Friends";1;3;"as";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";204,9;"UP";"Bb-maj";"4/4";"1986-11-14";"Klenner/Lewis";"A16B16";"";"Pablo Records";1987;81;13,7;1937
